Ship-to party,Name ship-to party,Street,City,Sales Man Name,Channel,Lat,Lng,In_Bounds
11001614,تموينات أسواق السلمان المركزية,القريات-حي الحديثة-الطريق الدولي-جوار الشهيلي-اسواق السلمان,Haditha,Mgyb Kono,Pre-Sale,31.4806325,37.1472998,OK
15005060,شركة الشاطئ الطويل - الدمام,الدمام حي المركبات ش.الامام علي بن ابي طالب,Dammam,Syed Shah Faizan,HORECA,26.4182005,50.0883846,OK
15001994,شركة رامز العالمية للتجارة / تبوك,تبوك طريق عمان جوار ادارة المرور,Tabuk,Mubarak Saeed,GT Key Account,28.3835079,36.5661908,OK
11007667,شركة السالمية للتجارة,تبوك حى الحمراء الشارع العام,Tabuk,Ahmed Baali,Pre-Sale,28.3643525,36.5712034,OK
11008410,تموينات خيرات رندا للمواد الغذائية,حي القادسية,Tabuk,Ahmed Baali,Pre-Sale,28.4328148,36.5130643,OK
11009141,شركة متاجر ابيات التجارية,تبوك الراجحي شارع عمر بن الخطاب,Tabuk,Nabil Saleh,Wholesale,28.392028,36.5562826,OK
11008696,مؤسسة العرض النشط للتجارة,جدة العزيزية شارع البلدية,Jeddah,Nasser Alsoady,BI,21.5512967,39.1820803,OK
11001198,سوبرماركت البسام,سوبرماركت البسام / حي الروضة شارع حمد الجاسر,Jeddah,Walid Mohammed,Pre-Sale,21.5767528,39.1562853,OK
11007747,اسواق الطلعة للتجارة,العيدابى حى المرمى الطلعه الشارع العام,Aydabi,Mohammed ail TAWHARI,Pre-Sale,25.8631638,44.0889004,Check
15003723,مخازن بدرالدين للتسويق,المدينة المنورة - حى الملك فهد - شارع الملك خالد,Madina,salem Hamad algohani,GT Key Account,24.5064185,39.6948825,OK
11002936,شركة مطاعم الناضج مطعم الناضج,الدارالبيضاء المستودعات النموذجية متودع رقم 5 -شركة مطاعم ال,Riyadh,Abdulrahman Sinan,HORECA,24.7135517,46.6752957,OK
15004533,شركة دارك ستورز السعودية للتجارة,الرياض حى ظهرة لبن شارع نجران,Riyadh,Anass Bahamel,E-Comm,24.6310398,46.5525736,OK
11008304,شركة درة مكارم الغذاء للتجارة,شارع عقل حي السلي,Riyadh,Adam Mouallem,HORECA,24.6625712,46.8248748,OK
11009483,مطعم كانون بيروت لتقديم الوجبات,الظهران العليا شارع العميد/ half cut,Dhahran,Syed Shah Faizan,HORECA,26.2989981,50.1758659,OK
